,미디어_TV_장르_1~3순위,,,미디어_OTT,미디어_동영상 콘텐츠_장르,,,,,,,,,,,,,
panel_id,1순위,2순위,3순위,사용_OTT_수,드라마/영화,음악/댄스,푸드/먹방/레시피,뉴스/시사/정치,게임,스포츠경기,예능,연예계소식,여행,뷰티,동물,운동,학습/강의/업무,일상및토크
H0028853,1,2,3,5,0,0,1,0,0,0,1,0,1,0,0,0,0,0
H0028935,4,1,6,2,1,1,1,0,1,1,1,1,0,0,1,0,0,1
H0029582,3,8,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
H0029597,3,2,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1
H0029617,9,2,3,2,1,0,1,0,0,0,0,0,1,1,0,1,1,0
H0029928,3,8,9,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0
H0030018,9,3,8,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
H0030062,8,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
H0030584,2,1,8,3,1,0,1,1,0,0,1,0,0,1,0,0,0,0
H0030626,4,1,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
H0030717,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0030726,2,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0030785,8,9,2,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1
H0030960,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
H0031073,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0031997,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
H0032015,2,1,7,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1
H0032330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H0033023,1,3,10,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
H0033024,2,1,6,3,1,1,1,0,0,0,1,0,0,1,1,0,0,0
H0033094,1,3,5,4,1,1,0,1,0,0,1,0,1,0,0,1,0,1
H0033214,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0033269,2,1,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0
H0033344,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0034102,1,2,0,3,1,0,1,0,0,0,1,0,1,1,0,1,1,1
H0035189,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0035549,1,2,4,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0
H0035717,2,1,10,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
H0036066,4,1,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
H0036077,8,9,5,4,0,1,1,1,0,1,1,0,1,0,1,1,1,0
H0036158,1,2,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
H0036238,1,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
H0036865,2,9,8,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
H0037001,8,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
H0037012,3,1,4,3,1,0,1,1,1,1,1,0,0,0,0,0,0,0
H0037433,2,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H0037469,4,3,8,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
H0038178,8,4,3,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0
H0038623,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
H0038849,4,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
H0039327,1,2,3,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1
H0039465,2,6,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
H0039502,4,2,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0
H0039518,1,2,3,4,1,1,1,0,0,0,1,1,0,1,0,1,1,1
H0039587,3,4,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
H0039596,3,2,9,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
H0039732,2,1,4,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0
H0039733,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0039919,9,7,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
H0039949,8,3,2,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
H0040116,3,2,8,6,1,1,0,1,0,0,1,0,1,1,1,1,0,0
H0040446,1,2,3,2,1,0,1,1,0,0,1,0,0,0,0,1,1,1
H0040585,1,3,8,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
H0040752,6,3,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
H0040823,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
H0041068,9,2,3,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
