panel_id,Major OTT,Minor OTT,YouTube,쇼핑,스포츠,cluster
K0041024,0.04889,0.000254,0.714084,10.48148,0.270117,0
K0041122,0.007199,0,40.3848,9.148148,0,1
K0041278,3.82546,0,14.81483,13.85185,0,2
K0041288,0.000433,5.209889,20.25967,18.7037,0,0
K0041292,17.5712,12.1024,88.25782,4.222222,0,1
K0041349,0.13953,0,3.337083,9.296296,0.010653,3
K0041421,0.206928,0,1.64237,5.769231,0,1
K0041456,0.00265,15.97406,35.98153,9.185185,0.40726,0
K0041519,0.077463,0.007172,11.11835,25.62963,0.598627,0
K0041593,2.145781,0,11.01005,3.208333,0,0
K0041675,0.853756,0.05202,25.11584,16.81481,0,0
K0037217,1.015263,0.251014,14.22035,3.826087,0,0
K0037281,0.463531,0,14.66531,1.791667,0,1
K0038030,0.004004,0,1.418983,18.14815,0.005521,0
K0038671,1.759168,0.359977,3.025764,44.96296,0.061078,2
K0038842,6.760664,0,13.90078,6.037037,0,0
K0038844,0.016003,0.007725,5.813504,30.77778,0,2
K0039004,0.937262,0,0.45267,34.44444,0,2
K0039036,4.97303,0.049994,33.77709,13.81818,0,1
K0039474,3.116627,0.427272,12.95413,4.44,0,0
K0039504,12.07531,0.991116,10.3604,5.055556,0,0
K0039613,0.02777,0,0.445147,28.03704,0,2
K0039678,0.716119,0.221667,6.587436,4.047619,0.24462,0
K0039925,0.003558,0,1.84535,2,0.150486,0
K0041721,0.150174,0.018325,1.907531,8.16,0,0
K0041740,0.095025,0.141523,1.66253,31.2963,0,0
K0041779,0.352756,0.37306,0.659759,13.48148,0.144796,0
K0041873,9.055899,0.002268,8.047114,6.666667,0,2
K0041915,0.377128,0,1.541096,8.185185,0,0
K0042228,0.068347,0,0.423426,20,0,2
K0042307,0.29373,0,0.035196,17.92593,0,0
K0042528,0.168291,0,0.29016,11.88889,0,0
K0042537,1.145706,0,17.87189,17.85185,0,1
K0042664,0.000393,0.140276,5.311419,6.777778,0,1
K0042863,0.149465,0,6.056412,12.55556,0,0
K0042926,1.288222,0.358618,18.24991,6.62963,0,0
K0043064,0.076319,0,0.166163,34.92593,0,0
K0043233,0.760533,0.263899,9.990997,9.37037,0,0
K0043436,0.005407,0.857226,7.794573,17.59259,1.851072,0
K0043785,1.070825,0.994909,0.64967,6.555556,1.127075,1
K0044018,1.294639,0,4.095425,1.615385,0,1
K0044051,0.016873,0,0.102564,36.18519,0,2
K0044468,0.093059,0,9.758744,38.74074,0,3
K0044521,8.078975,0.039679,12.96027,5,0.887131,1
K0044555,0.510004,0,6.154321,27.59259,0,0
K0044561,3.130463,0.593627,6.797627,13.59259,0,2
K0044606,3.939661,0,4.442803,11.77778,0,2
K0045099,0.05811,0.066411,5.099209,9.037037,0,0
K0045551,1.588639,0,0.619146,2.3125,0,3
K0046104,5.86181,0.385334,21.4952,3.884615,0,1
K0046262,0.917345,0,7.14975,7.653846,0,0
K0046320,10.49596,0,46.91267,11.77778,0,1
K0046499,6.404256,0,2.845865,14.25926,0,0
K0046822,2.083076,0.033434,5.710287,29.40741,0.051964,2
K0046842,8.58642,0,9.72431,2.76,0,0
K0048406,0.087728,0,22.88633,7.962963,0.009352,1
K0048855,1.166041,0,6.253998,26.18519,0,0
K0048946,0.769507,0.626867,3.509891,20.25926,0,0
K0048952,4.808358,0,4.011341,3.307692,0,0
K0049012,0.507239,0,14.77976,19.18519,0,1
K0049078,0.279363,0,38.91449,28.25926,0,1
K0049102,2.755488,1.105267,3.773014,4.045455,0,0
K0049121,0.956786,0.619652,13.36923,6.888889,4.101549,0
K0049237,0.000601,0.006004,4.198775,6.076923,0,0
K0050054,0.026543,0,0.566803,6.407407,0.134756,0
K0050509,0.008774,0.067369,27.11167,15.88889,0,2
K0050553,0.671475,0.162202,1.42519,20.33333,0,0
K0050675,1.142958,0.019014,2.182374,16.7037,0,0
K0050823,1.765461,0,7.391125,14.40741,0,2
K0050942,30.88132,2.515791,0.004866,1.789474,0,1
K0051526,0.941972,0.007883,10.385,3.653846,0,0
K0051610,10.20931,0,9.40458,12.88889,0,0
K0051812,1.380847,0.022631,8.084301,11.81481,0,0
K0052246,4.476395,0,12.19147,23.25926,0,0
K0052749,1.796898,0.167772,4.753945,11.51852,0,0
K0052900,5.10124,0,24.71538,13.81481,0,1
K0053329,4.023389,0,42.36118,3.73913,1.972484,0
K0053496,2.685832,6.243039,4.692014,6.958333,1.944222,0
K0053499,1.837278,0.06186,22.13775,10.07407,0,1
K0053910,2.097412,0.533493,16.53586,13.57692,0.032844,1
K0053916,0.778162,0,1.212256,9.222222,0.264973,2
K0053923,2.243439,0.687899,31.57004,5.592593,0,1
K0054254,1.209484,0,18.18744,19.2,0,0
K0054271,8.965842,3.060205,67.16825,9.444444,0,1
K0054305,4.695416,0,4.299953,2.307692,0,0
K0054402,0.963759,0,2.083295,8.925926,0.08046,0
K0054672,0.003679,0,27.10746,55.25926,0.019057,3
K0054837,0.562115,0,0.686994,19.14815,0,0
K0055201,0.038113,0,6.398781,11,0,1
K0055219,13.02188,0,0.166203,6.851852,0,1
K0055301,0.106586,0,9.840172,8.777778,0,0
K0055386,1.474903,0.046541,10.53111,10.40741,0,3
K0055413,1.60874,0,0.145498,9.962963,0,0
K0055426,0.280346,0.18008,10.96776,5.740741,0,2
K0056099,1.109869,0.020456,36.83517,8.740741,0,3
K0056210,0.445155,0.013628,3.215975,18.14815,0,0
K0056457,0.484659,0.331826,6.298166,1.7,0,0
K0056875,0.834056,0,16.59357,4,0,1
K0057251,2.87608,3.495532,18.32058,3.809524,0,0
K0057798,18.52805,2.170297,2.828008,17.22222,0,1
K0057800,0.163548,0,21.65189,20.33333,0.27498,0
K0057829,7.304372,0,4.475511,15.96296,0,0
K0057935,3.179648,0,1.004545,6.740741,0,0
K0058156,6.423029,0,4.010788,1.2,0,1
K0058311,0.195732,0,0.278241,27.14815,0,2
K0058738,2.422979,0,12.8428,6.740741,0,1
K0058817,2.842966,0.021632,17.56838,6.888889,0,1
K0058918,0.089064,0,1.003696,15.74074,0,1
K0060015,2.471715,0.33436,18.75469,4.259259,0,0
K0060433,0.556872,0.002231,9.17551,2.277778,0,1
K0060573,0.190556,0,6.210402,20.51852,0,0
K0060789,2.741128,0.130341,14.57288,32.18519,0,0
K0060831,0.00515,6.89E-05,9.789262,36.59259,0,2
K0060861,0.324113,0,1.341702,14.7037,0,2
K0060905,3.756248,0,0.153755,41.48148,0,3
K0060917,1.710011,0.026982,7.188337,9.259259,0,0
K0060968,0.02357,0,13.77548,23.14815,0,0
K0061357,0.112137,0.023982,6.909836,14.88889,0.073808,2
K0061360,2.357863,0,1.795125,7.851852,0,1
K0061407,0.064431,0,4.966185,2.157895,0,0
K0061631,0.515462,4.388455,21.69396,10.92,1.38695,0
K0061822,12.69786,0,2.423309,12.44444,0,2
K0061866,0.507581,0.187761,9.175197,1,0,0
K0061999,0.017677,0,0.050665,19.25926,0,0
K0062088,0.025188,0,0.183422,12.74074,0,0
K0062123,4.254124,7.404225,19.07634,8.777778,0,0
K0062306,0.10646,0,0.464869,11.84615,0,2
K0062589,0.032395,7.331034,0.791823,3.375,0,0
K0062847,1.39402,0,10.40008,11.33333,0,3
K0063237,0.012093,0.00038,0.022139,53.14815,0,3
K0063281,2.411531,1.022657,2.410667,23.88889,0,2
K0063429,2.674082,0,4.947506,11.11111,0,0
K0063768,0.091464,0,1.490763,39.14815,0,2
K0064194,1.196374,0,4.625977,4.851852,2.627368,0
K0064681,0.020497,0,18.98305,2.833333,0,1
K0065280,1.452837,1.371677,14.02269,1.5,0,1
K0066038,0.047211,0.468939,23.11747,21.88889,0,3
K0066407,5.58209,0.871962,4.449064,19.40741,0.025666,0
K0066908,0.547571,0,2.085002,35.74074,0,2
K0067111,4.138488,1.047678,31.89145,2.428571,0,1
K0067145,0.316078,0,0.208961,19.96296,0,1
K0067358,2.226916,0,1.661418,10.62963,0,0
K0067651,0.218671,0.03434,11.69002,9,0,0
K0068598,0.04749,0,0.88701,16.59259,0,0
K0068858,0.613082,0,5.935153,25.55556,0,0
K0068974,0.010459,13.42407,32.57105,2.5,0,1
K0069663,0.004183,0,18.824,6.851852,0,1
K0069730,0.012894,0,22.50831,3.307692,0,0
K0069922,9.480399,0,0.304865,15.18519,0,1
K0070075,0.274999,0,1.083208,32.55556,0,0
K0070148,0.474696,0.032434,1.036435,14.44444,0.988263,2
K0070149,1.796268,0,21.37525,8,0,1
K0070177,0.001048,0.009388,14.70625,20.51852,0.198445,2
K0070199,1.08319,0,0.540182,3.888889,0.381547,0
K0070511,0.709309,0,30.64504,5.333333,0,0
K0070716,1.490202,0.031658,3.127705,5.333333,0,3
K0070845,0.120564,1.402673,5.363326,0,0.938159,0
K0071093,1.895633,0,0.015522,5.925926,0,0
K0071251,1.665775,0,1.773953,9.296296,0,3
K0071596,1.5715,0.030503,9.706723,0,0,0
K0072806,0.771795,0,10.23781,11.70833,0,0
K0072875,1.119332,0,2.07438,17.96296,0,0
K0073175,0.065172,0.569664,3.178152,10.96296,0.112671,0
K0550514,2.990811,0.056495,8.684757,8.185185,0.444948,2
K0550519,8.549868,0,40.97489,4.571429,0.175545,1
K0550625,0.081718,0,3.821383,16.37037,0,1
K0550791,0.201913,0,0.658639,15.22222,0,0
K0550850,8.700361,1.931164,19.95971,8.5,0,1
K0550857,0.215672,0,0.007167,12.56,0,1
K0550919,0.162401,0.380695,0.327566,10.96296,0,0
K0550947,0.029307,0,0.364049,40.03704,0,2
K0550951,0.01118,0,1.699829,5.36,0,2
K0550972,2.110523,2.522959,10.05652,3.043478,0,0
K0551017,2.599738,0,15.42506,9.166667,0,1
K0551021,0.029578,0.619838,8.614223,16.40741,0,0
K0551098,0.975806,0,12.88742,3.608696,1.844962,0
K0551119,10.60436,0.004866,10.83881,10.37037,0,0
K0551194,0.303582,0,0.717369,13.18519,0,0
K0551223,1.742907,0.187043,3.712028,5.384615,1.047548,0
K0551266,0.009329,0,0.556172,10.40741,0,1
K0551270,0.010149,0.059849,0.84734,14.33333,0,2
K0551291,0.052323,0,6.628541,4.12,0,0
K0551293,0.00057,0,0.677397,10.22222,0,0
K0551316,3.828035,0,28.50798,5.52,0,1
K0551358,7.075072,0.171803,0.578969,52.11111,0,2
K0551367,9.420604,1.518296,38.84405,8.259259,0,1
K0551394,1.610808,0,4.963527,8.259259,0.330992,1
K0551401,0.043174,0.000763,0.789555,23,0,0
K0551462,0.323231,0.32738,1.820263,2.352941,0.084315,0
K0551491,0.021842,0.176596,0.305102,15.55556,0,1
K0551578,0.040979,0,13.72645,0,0,1
K0551625,2.624365,4.765564,2.873083,7.148148,0,2
K0551650,1.066226,0,17.79712,1.25,0,1
K0551709,1.925212,0.75948,13.46543,8.884615,0,0
K0551737,0.513787,0.000186,11.18881,7.185185,0,0
K0551743,0.522909,0,15.49395,7.04,0,1
K0551763,1.49463,0,0.021211,33.18519,0,0
K0550322,0.339006,0.00782,5.923863,9.37037,0,3
K0550351,1.645729,0.127774,0.667591,10.37037,0,0
K0550441,2.227699,0.218234,13.00659,8.038462,0,0
K0551799,3.080592,0,15.3474,6.37037,0,1
K0551808,2.644402,0,11.05686,3.625,0,1
K0551813,0.784992,0,7.186039,2.666667,0,0
K0551848,0.225272,0,33.43029,20.74074,0,3
K0551916,0.939643,4.88179,25.85967,4.518519,0,0
K0551929,2.012952,0,12.56697,9.814815,1.051169,0
K0551947,1.788694,0.006159,7.198699,1.5,0,1
K0551995,4.52359,0.287708,16.71828,7.56,0,0
K0552040,0.152834,0,54.9783,9.666667,0,1
K0552048,0.212929,3.781912,6.149383,4.92,9.903927,0
K0552050,1.570801,0,4.341907,15.2963,0.016289,2
K0552107,0.807188,0,0.467463,27.59259,0,2
K0552235,1.615297,1.953956,17.41704,14.37037,0,0
K0552438,0.017069,0,1.740117,13.22222,0,3
K0552451,0.633714,2.424064,12.11983,6.72,0,0
K0552460,0.184518,0,5.775897,7.518519,0,0
K0552533,0.096013,0.311064,0.92934,9.444444,0,1
K0552538,1.95733,0.030307,1.100278,14.51852,0,0
K0552579,1.346345,0.386245,8.908395,12.92593,0,0
K0552612,1.308017,0,26.03161,4.230769,0.280294,0
K0552618,2.872339,0,11.39717,6.962963,0,1
K0552655,0.931625,0,5.961592,10.74074,0,0
K0552748,13.95731,0,29.37234,3.653846,0,1
K0552750,1.06889,0,11.11294,3.2,0,0
K0552770,2.937313,0,10.01953,8.814815,0,0
K0552938,0.188031,0,8.966231,18.32,0,0
K0552986,0.676645,3.654206,1.009594,17.77778,0,0
K0553012,0.017573,0,0.089564,14.03704,0,0
K0553024,11.07994,0,4.045886,14.88889,0,1
K0553088,7.434775,0.300397,4.303719,9.259259,0,0
K0553142,8.19702,0.052398,7.064136,11.73077,0,0
K0553147,2.176578,0,0.226072,15.7037,0.379472,0
K0553220,0.132151,0,9.542465,14.51852,0.000594,0
K0553226,2.89332,0,1.409596,10.81481,0,1
K0553246,2.044708,0.069817,20.1879,10.34615,0,0
K0553391,0.447129,0,0.013053,15.48148,0,0
K0553400,1.284044,0,4.885571,21.85185,0,0
K0553402,0.831781,0,11.73728,6.407407,0,0
K0553434,0.456529,0,4.815497,9.24,1.397984,1
K0553447,1.371144,0.307137,15.62528,4.269231,0.044739,0
K0553463,0.002779,0,10.69936,5.041667,0,1
K0553541,0.226181,0,13.6596,10.03704,0,0
K0553544,0.451376,0,8.360718,10.65385,0,1
K0553571,17.43829,0,24.08899,4,0,1
K0553632,0.028264,0.012652,7.350942,8.555556,0,1
K0553650,1.72922,0,6.662439,8.740741,0,0
K0553690,9.490844,0.007697,25.01551,7.730769,0,0
K0553696,0.001159,0,0.961988,16.96296,0,3
K0553764,3.004047,0,10.48561,24.03704,0,0
K0553798,3.309359,0.168006,8.984424,3.538462,0,0
K0553807,0.941949,0,15.74689,17,0.687839,1
K0553918,4.369567,0.471954,0.911382,5.576923,1.759095,0
K0553951,0.31185,0.091961,10.79734,30.7037,0.10055,2
K0553954,3.667566,0,30.77953,2.583333,0,1
K0553986,6.307407,0,29.89796,21.18519,0,2
K0554056,5.094515,0,34.09607,4.884615,0,1
K0554102,0.119957,0,3.128194,10.03704,0,0
K0554144,0.047507,0,1.545338,2.708333,0,0
K0554164,2.144648,0,1.602535,18.7037,0,2
K0554173,0.547185,0,10.96008,6.32,0,0
K0554274,1.392438,0,4.900983,19.40741,0,2
K0554287,0.532211,0,24.67979,7.16,0,1
K0554293,4.740005,0,25.91801,17,0,3
K0554298,0.194068,0,0.163781,3.285714,0,1
K0554309,0.893241,0,21.59072,6.666667,0,1
K0554381,0.281302,0.002633,7.912388,23.07407,0,1
K0554386,1.575896,0,12.72725,1.153846,0,1
K0554390,0.006178,0.044581,6.587725,10.19231,0,3
K0554398,0.015095,0,10.16377,15.11111,0,1
K0554416,0.002876,0.631026,21.42331,3.740741,0,1
K0554454,0.001125,0,7.21273,4.076923,0,0
K0554617,0.908659,2.050641,12.51426,5.038462,1.024272,1
K0554629,1.303471,0.16695,9.079527,8.851852,0,0
K0554639,0.022062,0.109863,0.032651,5.074074,0.08213,0
K0554689,29.27177,0.295961,15.82256,3.208333,0,1
K0554752,11.69945,0,32.32615,15.74074,0,1
